Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,9.37905591587911
DEH1_2022,B37/H95,9.348216070629562
DEH1_2022,B73/MO17,9.48929101771471
DEH1_2022,B73/PHN82,10.173416978770488
DEH1_2022,B73/TX779,9.622237587907268
DEH1_2022,B97/LH244,9.555009464207066
DEH1_2022,BGEM-0039-N/LH244,9.289573062451078
DEH1_2022,BGEM-0063-N/LH244,9.26625882845639
DEH1_2022,BGEM-0089-N/LH244,9.450600316726868
DEH1_2022,BGEM-0124-N/LH244,9.18217140426928
DEH1_2022,BGEM-0129-N/LH244,9.43636919742598
DEH1_2022,CG119/CG108,9.68971388969089
DEH1_2022,CG44/CGR01,9.816950708859547
DEH1_2022,DK3IIH6/LH244,9.639756190748564
DEH1_2022,DK78010/LH244,9.693304434131395
DEH1_2022,GEMN-0096/LH244,9.441354628309949
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,9.526733202410703
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,9.56618852365188
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,9.54326591863968
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,9.53784188105351
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,9.577356029243637
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,9.572098429586848
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,9.56823097742499
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,9.548635982583892
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,9.534003292752136
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,9.546682172268834
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,9.517776526120535
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,9.557120389719604
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,9.50595889178122
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,9.511544742133111
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,9.486684085785717
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,9.513091371188494
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,9.485021331778508
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,9.441572882747026
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,9.424877339905118
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,9.387345894894407
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,9.402696571621243
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,9.476767300455249
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,9.467075148473628
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,9.410766830751784
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,9.403143676959791
DEH1_2022,GEMN-0096_PHK76_0001/LH244,9.768300830168991
DEH1_2022,GEMN-0096_PHK76_0002/LH244,9.77048956082465
DEH1_2022,GEMN-0096_PHK76_0003/LH244,9.777367251358132
DEH1_2022,GEMN-0096_PHK76_0004/LH244,9.782686380688045
DEH1_2022,GEMN-0096_PHK76_0006/LH244,9.784924858370744
DEH1_2022,GEMN-0096_PHK76_0007/LH244,9.780987010347127
DEH1_2022,GEMN-0096_PHK76_0008/LH244,9.784198289466708
DEH1_2022,GEMN-0096_PHK76_0010/LH244,9.766762054960155
DEH1_2022,GEMN-0096_PHK76_0013/LH244,9.762379827189756
DEH1_2022,GEMN-0096_PHK76_0015/LH244,9.766662919490186
DEH1_2022,GEMN-0096_PHK76_0016/LH244,9.76528781472734
DEH1_2022,GEMN-0096_PHN46_0001/LH244,9.526832145398402
DEH1_2022,GEMN-0096_PHN46_0003/LH244,9.586302950133993
DEH1_2022,GEMN-0096_PHN46_0004/LH244,9.525203641376397
DEH1_2022,GEMN-0096_PHN46_0005/LH244,9.527670725430896
DEH1_2022,GEMN-0096_PHN46_0007/LH244,9.540100438816292
DEH1_2022,GEMN-0096_PHN46_0008/LH244,9.622929222963949
DEH1_2022,GEMN-0096_PHN46_0012/LH244,9.559418616936275
DEH1_2022,GEMN-0096_PHN46_0013/LH244,9.411866135915428
DEH1_2022,GEMN-0096_PHN46_0014/LH244,9.482843769746792
DEH1_2022,GEMN-0096_PHN46_0018/LH244,9.400460149839772
DEH1_2022,GEMN-0096_PHN46_0020/LH244,9.457641788677822
DEH1_2022,GEMN-0096_PHN46_0023/LH244,9.48073863636494
DEH1_2022,GEMN-0096_PHP02_0001/LH244,9.463194191019133
DEH1_2022,GEMN-0096_PHP02_0002/LH244,9.468930411765466
DEH1_2022,GEMN-0096_PHP02_0003/LH244,9.469708712611018
DEH1_2022,GEMN-0096_PHP02_0004/LH244,9.391264593355036
DEH1_2022,GEMN-0096_PHP02_0005/LH244,9.383044918765885
DEH1_2022,GEMN-0096_PHP02_0006/LH244,9.452917910124356
DEH1_2022,GEMN-0096_PHP02_0007/LH244,9.430447535678384
DEH1_2022,GEMN-0096_PHP02_0009/LH244,9.442318880578696
DEH1_2022,GEMN-0096_PHP02_0011/LH244,9.477351943725903
DEH1_2022,GEMN-0096_PHP02_0012/LH244,9.480805974172323
DEH1_2022,GEMN-0096_PHP02_0015/LH244,9.524178810126914
DEH1_2022,GEMN-0096_PHP02_0016/LH244,9.517913331701044
DEH1_2022,GEMN-0096_PHP02_0025/LH244,9.427522886900876
DEH1_2022,GEMN-0096_PHP02_0030/LH244,9.433880513296147
DEH1_2022,GEMN-0097/LH244,9.607015133707035
DEH1_2022,GEMN-0097_LH212HT_0002/LH244,9.5958289852809
DEH1_2022,GEMN-0097_LH212HT_0004/LH244,9.550398683278326
DEH1_2022,GEMN-0097_LH212HT_0018/LH244,9.596834948497468
DEH1_2022,GEMN-0097_LH212HT_0019/LH244,9.680958348286431
DEH1_2022,GEMN-0097_LH212HT_0020/LH244,9.59474504000099
DEH1_2022,GEMN-0097_LH212HT_0023/LH244,9.567061704849555
DEH1_2022,GEMN-0097_LH212HT_0026/LH244,9.601563857559189
DEH1_2022,GEMN-0097_LH212HT_0032/LH244,9.498381550039491
DEH1_2022,GEMN-0097_LH212HT_0034/LH244,9.54033636468137
DEH1_2022,GEMN-0097_LH212HT_0039/LH244,9.602322301329052
DEH1_2022,GEMN-0097_LH212HT_0047/LH244,9.563324161596135
DEH1_2022,GEMN-0097_LH212HT_0051/LH244,9.615703235849422
DEH1_2022,GEMN-0097_LH212HT_0054/LH244,9.59874315238513
DEH1_2022,GEMN-0097_LH212HT_0058/LH244,9.52405473000712
DEH1_2022,GEMN-0097_LH212HT_0061/LH244,9.641831070700402
DEH1_2022,GEMN-0097_LH212HT_0062/LH244,9.665512213177264
DEH1_2022,GEMN-0097_LH212HT_0069/LH244,9.664120778642571
DEH1_2022,GEMN-0097_LH212HT_0074/LH244,9.607191711017231
DEH1_2022,GEMN-0097_LH212HT_0078/LH244,9.619904639385778
DEH1_2022,GEMN-0097_LH212HT_0085/LH244,9.717050748224109
DEH1_2022,GEMN-0097_LH212HT_0090/LH244,9.556756755461166
DEH1_2022,GEMN-0097_PHJ89_0001/LH244,9.465962664452697
DEH1_2022,GEMN-0097_PHJ89_0002/LH244,9.529054914968224
DEH1_2022,GEMN-0097_PHJ89_0003/LH244,9.523419417222753
DEH1_2022,GEMN-0097_PHJ89_0005/LH244,9.498054215330736
DEH1_2022,GEMN-0097_PHJ89_0006/LH244,9.51391917637936
DEH1_2022,GEMN-0097_PHJ89_0007/LH244,9.512259146419956
DEH1_2022,GEMN-0097_PHJ89_0008/LH244,9.512268509462556
DEH1_2022,GEMN-0097_PHJ89_0010/LH244,9.512631350803868
DEH1_2022,GEMN-0097_PHJ89_0011/LH244,9.52114009018018
DEH1_2022,GEMN-0097_PHJ89_0012/LH244,9.55873139306915
DEH1_2022,GEMN-0097_PHJ89_0013/LH244,9.543579779868438
DEH1_2022,GEMN-0097_PHJ89_0016/LH244,9.500691110006546
DEH1_2022,GEMN-0097_PHJ89_0020/LH244,9.486692998051655
DEH1_2022,GEMN-0097_PHJ89_0023/LH244,9.544328615757118
DEH1_2022,GEMN-0097_PHJ89_0025/LH244,9.521513188574364
DEH1_2022,GEMN-0097_PHJ89_0026/LH244,9.56276336918316
DEH1_2022,GEMN-0097_PHJ89_0027/LH244,9.50234267318483
DEH1_2022,GEMN-0097_PHJ89_0028/LH244,9.524931147807887
DEH1_2022,GEMN-0097_PHJ89_0029/LH244,9.565346027428236
DEH1_2022,GEMN-0097_PHJ89_0033/LH244,9.479906760616714
DEH1_2022,GEMN-0097_PHJ89_0036/LH244,9.582480613764035
DEH1_2022,GEMN-0097_PHJ89_0039/LH244,9.482035543462835
DEH1_2022,GEMN-0097_PHK76_0002/LH244,9.647960706119791
DEH1_2022,GEMN-0097_PHK76_0003/LH244,9.66606857475833
DEH1_2022,GEMN-0097_PHK76_0007/LH244,9.692612562815375
DEH1_2022,GEMN-0097_PHK76_0009/LH244,9.67214999297963
DEH1_2022,GEMN-0097_PHK76_0010/LH244,9.628685045525945
DEH1_2022,GEMN-0097_PHK76_0011/LH244,9.709437558563554
DEH1_2022,GEMN-0097_PHK76_0012/LH244,9.570874214683766
DEH1_2022,GEMN-0097_PHK76_0014/LH244,9.66106445118088
DEH1_2022,GEMN-0097_PHK76_0015/LH244,9.606653574835228
DEH1_2022,GEMN-0097_PHK76_0016/LH244,9.529803364068986
DEH1_2022,GEMN-0097_PHK76_0017/LH244,9.552921368608969
DEH1_2022,GEMN-0097_PHK76_0018/LH244,9.63571810457392
DEH1_2022,GEMN-0097_PHK76_0021/LH244,9.7121983036676
DEH1_2022,GEMN-0097_PHK76_0023/LH244,9.646452872328007
DEH1_2022,GEMN-0097_PHK76_0029/LH244,9.552921368608969
DEH1_2022,GEMN-0097_PHK76_0032/LH244,9.572333876057048
DEH1_2022,GEMN-0097_PHK76_0036/LH244,9.649197462110164
DEH1_2022,GEMN-0097_PHK76_0037/LH244,9.68137996876666
DEH1_2022,GEMN-0097_PHK76_0038/LH244,9.583673236126726
DEH1_2022,GEMN-0097_PHK76_0039/LH244,9.598196892637564
DEH1_2022,GEMN-0097_PHK76_0041/LH244,9.598801342180773
DEH1_2022,GEMN-0097_PHK76_0048/LH244,9.706305819080658
DEH1_2022,GEMN-0097_PHK76_0053/LH244,9.63153333330924
DEH1_2022,GEMN-0097_PHK76_0055/LH244,9.63571640863999
DEH1_2022,GEMN-0097_PHK76_0060/LH244,9.600432743504268
DEH1_2022,GEMN-0097_PHN46_0001/LH244,9.5228746911701
DEH1_2022,GEMN-0097_PHN46_0002/LH244,9.623341018913155
DEH1_2022,GEMN-0097_PHN46_0003/LH244,9.612283674211945
DEH1_2022,GEMN-0097_PHN46_0004/LH244,9.528281111040457
DEH1_2022,GEMN-0097_PHN46_0005/LH244,9.656317464041551
DEH1_2022,GEMN-0097_PHN46_0006/LH244,9.559707143823788
DEH1_2022,GEMN-0097_PHN46_0007/LH244,9.60808869799876
DEH1_2022,GEMN-0097_PHN46_0008/LH244,9.645985744276285
DEH1_2022,GEMN-0097_PHN46_0009/LH244,9.521312128704905
DEH1_2022,GEMN-0097_PHN46_0010/LH244,9.552921368608969
DEH1_2022,GEMN-0097_PHN46_0011/LH244,9.621609371960492
DEH1_2022,GEMN-0097_PHN46_0014/LH244,9.617607490038829
DEH1_2022,GEMN-0097_PHN46_0016/LH244,9.503181379542472
DEH1_2022,GEMN-0097_PHN46_0018/LH244,9.650212443706303
DEH1_2022,GEMN-0097_PHP02_0001/LH244,9.503744737076117
DEH1_2022,GEMN-0097_PHP02_0002/LH244,9.470414476656428
DEH1_2022,GEMN-0097_PHP02_0003/LH244,9.483025499399384
DEH1_2022,GEMN-0097_PHP02_0005/LH244,9.545053238549588
DEH1_2022,GEMN-0097_PHP02_0006/LH244,9.537008794313666
DEH1_2022,GEMN-0097_PHP02_0007/LH244,9.491889509884777
DEH1_2022,GEMN-0098/LH244,9.580776941593223
DEH1_2022,GEMN-0104/LH244,9.617894027750769
DEH1_2022,GEMN-0124/LH244,9.568636978748255
DEH1_2022,GEMN-0135/LH244,9.536346070985465
DEH1_2022,GEMN-0144/LH244,9.448414322446729
DEH1_2022,GEMN-0157/LH244,9.579192263459072
DEH1_2022,GEMN-0177/LH244,9.666969403914436
DEH1_2022,GEMN-0178/LH244,9.71472435510177
DEH1_2022,GEMN-0187/LH244,9.557480114694844
DEH1_2022,GEMN-0192/LH244,9.499221192671293
DEH1_2022,GEMN-0192_LH212HT_0001/LH244,9.59681424558911
DEH1_2022,GEMN-0192_LH212HT_0002/LH244,9.53060942605678
DEH1_2022,GEMN-0192_LH212HT_0006/LH244,9.539941932833509
DEH1_2022,GEMN-0192_LH212HT_0007/LH244,9.49418486363956
DEH1_2022,GEMN-0192_LH212HT_0008/LH244,9.581916194721632
DEH1_2022,GEMN-0192_LH212HT_0009/LH244,9.604171367670052
DEH1_2022,GEMN-0192_LH212HT_0010/LH244,9.500820581810263
DEH1_2022,GEMN-0192_LH212HT_0011/LH244,9.54299169217546
DEH1_2022,GEMN-0192_LH212HT_0012/LH244,9.505753651827607
DEH1_2022,GEMN-0192_LH212HT_0013/LH244,9.518719088907815
DEH1_2022,GEMN-0192_LH212HT_0014/LH244,9.553591298844536
DEH1_2022,GEMN-0192_LH212HT_0015/LH244,9.55550483852968
DEH1_2022,GEMN-0192_LH212HT_0018/LH244,9.523077803771056
DEH1_2022,GEMN-0192_LH212HT_0021/LH244,9.489858916642136
DEH1_2022,GEMN-0192_LH212HT_0023/LH244,9.537445395355702
DEH1_2022,GEMN-0192_PHJ89_0001/LH244,9.414570405741882
DEH1_2022,GEMN-0192_PHJ89_0002/LH244,9.463272390200975
DEH1_2022,GEMN-0192_PHK76_0002/LH244,9.717341459661156
DEH1_2022,GEMN-0192_PHK76_0004/LH244,9.642873067704349
DEH1_2022,GEMN-0192_PHK76_0005/LH244,9.576735392700908
DEH1_2022,GEMN-0192_PHK76_0006/LH244,9.701516767907307
DEH1_2022,GEMN-0192_PHK76_0007/LH244,9.63412874616613
DEH1_2022,GEMN-0192_PHK76_0008/LH244,9.598816632233069
DEH1_2022,GEMN-0192_PHK76_0009/LH244,9.6512625822249
DEH1_2022,GEMN-0192_PHK76_0010/LH244,9.69855436276758
DEH1_2022,GEMN-0192_PHK76_0011/LH244,9.511490850492844
DEH1_2022,GEMN-0192_PHK76_0012/LH244,9.714593160304863
DEH1_2022,GEMN-0192_PHK76_0013/LH244,9.528497423444236
DEH1_2022,GEMN-0192_PHK76_0014/LH244,9.687980242610925
DEH1_2022,GEMN-0192_PHK76_0015/LH244,9.651283969331724
DEH1_2022,GEMN-0192_PHK76_0016/LH244,9.573890987691335
DEH1_2022,GEMN-0192_PHK76_0017/LH244,9.537860342572497
DEH1_2022,GEMN-0192_PHK76_0018/LH244,9.66500693478944
DEH1_2022,GEMN-0192_PHK76_0019/LH244,9.575939617428482
DEH1_2022,GEMN-0192_PHK76_0021/LH244,9.563692693313316
DEH1_2022,GEMN-0192_PHK76_0025/LH244,9.71481135077182
DEH1_2022,GEMN-0192_PHK76_0027/LH244,9.723400293223948
DEH1_2022,GEMN-0192_PHK76_0028/LH244,9.647844801899971
DEH1_2022,GEMN-0192_PHK76_0030/LH244,9.682151257397482
DEH1_2022,GEMN-0192_PHK76_0032/LH244,9.664921657987568
DEH1_2022,GEMN-0192_PHK76_0033/LH244,9.606215278093078
DEH1_2022,GEMN-0192_PHK76_0035/LH244,9.67715603769671
DEH1_2022,GEMN-0192_PHK76_0036/LH244,9.58521946472816
DEH1_2022,GEMN-0192_PHK76_0037/LH244,9.57909766480577
DEH1_2022,GEMN-0192_PHK76_0041/LH244,9.690534340447526
DEH1_2022,GEMN-0192_PHK76_0044/LH244,9.57868140309246
DEH1_2022,GEMN-0192_PHK76_0045/LH244,9.699022248233794
DEH1_2022,GEMN-0192_PHN46_0001/LH244,9.510755055550742
DEH1_2022,GEMN-0192_PHN46_0002/LH244,9.635039752695684
DEH1_2022,GEMN-0192_PHN46_0003/LH244,9.461379939777766
DEH1_2022,GEMN-0192_PHN46_0004/LH244,9.577250798403323
DEH1_2022,GEMN-0192_PHN46_0005/LH244,9.589541660266727
DEH1_2022,GEMN-0192_PHN46_0006/LH244,9.453876627414989
DEH1_2022,GEMN-0192_PHN46_0007/LH244,9.47753697959087
DEH1_2022,GEMN-0192_PHN46_0008/LH244,9.642342821351782
DEH1_2022,GEMN-0192_PHN46_0009/LH244,9.532956855594511
DEH1_2022,GEMN-0192_PHN46_0010/LH244,9.412824214765465
DEH1_2022,GEMN-0192_PHN46_0011/LH244,9.447843466485695
DEH1_2022,GEMN-0192_PHN46_0012/LH244,9.551842272944748
DEH1_2022,GEMN-0192_PHN46_0014/LH244,9.50104120050904
DEH1_2022,GEMN-0192_PHN46_0015/LH244,9.590510075293874
DEH1_2022,GEMN-0192_PHN46_0017/LH244,9.551892817854148
DEH1_2022,GEMN-0192_PHN46_0018/LH244,9.524622395511935
DEH1_2022,GEMN-0192_PHN46_0019/LH244,9.653650103903257
DEH1_2022,GEMN-0192_PHN46_0020/LH244,9.65967342459945
DEH1_2022,GEMN-0192_PHN46_0021/LH244,9.562552920941489
DEH1_2022,GEMN-0192_PHN46_0025/LH244,9.641180458745309
DEH1_2022,GEMN-0192_PHP02_0001/LH244,9.431796144579462
DEH1_2022,GEMN-0192_PHP02_0003/LH244,9.475582029158735
DEH1_2022,GEMN-0207/LH244,9.515308207290769
DEH1_2022,GEMN-0225/LH244,9.603411470757592
DEH1_2022,GEMN-0225_LH212HT_0002/LH244,9.690165560960912
DEH1_2022,GEMN-0225_LH212HT_0003/LH244,9.669384344736615
DEH1_2022,GEMN-0225_LH212HT_0005/LH244,9.728639954420652
DEH1_2022,GEMN-0225_LH212HT_0006/LH244,9.630094862873534
DEH1_2022,GEMN-0225_LH212HT_0008/LH244,9.61136591301931
DEH1_2022,GEMN-0225_LH212HT_0009/LH244,9.55666288926459
DEH1_2022,GEMN-0225_LH212HT_0015/LH244,9.657435309250308
DEH1_2022,GEMN-0225_LH212HT_0017/LH244,9.61454479873623
DEH1_2022,GEMN-0225_LH212HT_0021/LH244,9.69161583438038
DEH1_2022,GEMN-0225_LH212HT_0023/LH244,9.613426992500417
DEH1_2022,GEMN-0225_LH212HT_0024/LH244,9.67824189830373
DEH1_2022,GEMN-0225_LH212HT_0025/LH244,9.681015492214415
DEH1_2022,GEMN-0225_LH212HT_0029/LH244,9.611172759564337
DEH1_2022,GEMN-0225_LH212HT_0036/LH244,9.65299949378174
DEH1_2022,GEMN-0225_LH212HT_0038/LH244,9.704443106912835
DEH1_2022,GEMN-0225_LH212HT_0040/LH244,9.690874909512214
DEH1_2022,GEMN-0225_LH212HT_0043/LH244,9.656798317547644
DEH1_2022,GEMN-0225_PHJ89_0001/LH244,9.515179412661018
DEH1_2022,GEMN-0225_PHJ89_0002/LH244,9.55122829804052
DEH1_2022,GEMN-0225_PHJ89_0003/LH244,9.560817488064476
DEH1_2022,GEMN-0225_PHJ89_0004/LH244,9.529173761541816
