Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,10.002056851490272
DEH1_2022,B37/H95,10.397197380931331
DEH1_2022,B73/MO17,11.03785507277072
DEH1_2022,B73/PHN82,11.762318489074351
DEH1_2022,B73/TX779,10.284659926425253
DEH1_2022,B97/LH244,10.72513014063772
DEH1_2022,BGEM-0039-N/LH244,9.970691641534582
DEH1_2022,BGEM-0063-N/LH244,9.947927266060184
DEH1_2022,BGEM-0089-N/LH244,9.762406168425551
DEH1_2022,BGEM-0124-N/LH244,9.74223853169973
DEH1_2022,BGEM-0129-N/LH244,10.95661556230206
DEH1_2022,CG119/CG108,8.733655052461092
DEH1_2022,CG44/CGR01,9.57956987029758
DEH1_2022,DK3IIH6/LH244,10.592190950728371
DEH1_2022,DK78010/LH244,10.585163618805344
DEH1_2022,GEMN-0096/LH244,10.86598117774034
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,10.60384188503532
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,11.020131320212393
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,10.886045796431686
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,10.8318283433171
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,10.904715744943868
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,10.650069321374245
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,10.637201730857164
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,10.739592597453033
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,11.01291013694979
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,10.968234943976691
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,10.552129679043372
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,10.806119577553918
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,10.713283466792609
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,10.879241846675782
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,10.827379630578642
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,10.770592358376202
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,10.997602155374912
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,10.79411858259626
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,10.494851956235951
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,10.746247953668597
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,10.594976431238267
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,10.510190259826585
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,10.626660678741846
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,10.894518890283578
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,11.028036777771025
DEH1_2022,GEMN-0096_PHK76_0001/LH244,9.66878212955253
DEH1_2022,GEMN-0096_PHK76_0002/LH244,10.08019839696862
DEH1_2022,GEMN-0096_PHK76_0003/LH244,10.018554578310406
DEH1_2022,GEMN-0096_PHK76_0004/LH244,10.206538415752298
DEH1_2022,GEMN-0096_PHK76_0006/LH244,10.073206179996058
DEH1_2022,GEMN-0096_PHK76_0007/LH244,9.859082246448036
DEH1_2022,GEMN-0096_PHK76_0008/LH244,10.113562075872832
DEH1_2022,GEMN-0096_PHK76_0010/LH244,9.661064161611398
DEH1_2022,GEMN-0096_PHK76_0013/LH244,9.473440199353805
DEH1_2022,GEMN-0096_PHK76_0015/LH244,9.501309962544676
DEH1_2022,GEMN-0096_PHK76_0016/LH244,9.661789912579968
DEH1_2022,GEMN-0096_PHN46_0001/LH244,10.91126648036133
DEH1_2022,GEMN-0096_PHN46_0003/LH244,11.142260688791046
DEH1_2022,GEMN-0096_PHN46_0004/LH244,11.015209621103962
DEH1_2022,GEMN-0096_PHN46_0005/LH244,10.916203220890242
DEH1_2022,GEMN-0096_PHN46_0007/LH244,10.849983378789704
DEH1_2022,GEMN-0096_PHN46_0008/LH244,11.20343996987916
DEH1_2022,GEMN-0096_PHN46_0012/LH244,10.73972053086039
DEH1_2022,GEMN-0096_PHN46_0013/LH244,10.55938213877054
DEH1_2022,GEMN-0096_PHN46_0014/LH244,10.885218814416838
DEH1_2022,GEMN-0096_PHN46_0018/LH244,10.450489643061838
DEH1_2022,GEMN-0096_PHN46_0020/LH244,10.213840858020315
DEH1_2022,GEMN-0096_PHN46_0023/LH244,11.10150636323991
DEH1_2022,GEMN-0096_PHP02_0001/LH244,10.94951747413024
DEH1_2022,GEMN-0096_PHP02_0002/LH244,10.926398257157244
DEH1_2022,GEMN-0096_PHP02_0003/LH244,10.663214274092164
DEH1_2022,GEMN-0096_PHP02_0004/LH244,10.433461929622764
DEH1_2022,GEMN-0096_PHP02_0005/LH244,10.314421235498193
DEH1_2022,GEMN-0096_PHP02_0006/LH244,10.628116884555425
DEH1_2022,GEMN-0096_PHP02_0007/LH244,10.783808448474598
DEH1_2022,GEMN-0096_PHP02_0009/LH244,10.815254725887216
DEH1_2022,GEMN-0096_PHP02_0011/LH244,10.701293601644888
DEH1_2022,GEMN-0096_PHP02_0012/LH244,10.919329004061652
DEH1_2022,GEMN-0096_PHP02_0015/LH244,10.83127342426682
DEH1_2022,GEMN-0096_PHP02_0016/LH244,10.7972996597652
DEH1_2022,GEMN-0096_PHP02_0025/LH244,10.642470160357115
DEH1_2022,GEMN-0096_PHP02_0030/LH244,10.890479481941718
DEH1_2022,GEMN-0097/LH244,10.506709852303098
DEH1_2022,GEMN-0097_LH212HT_0002/LH244,10.71590705084188
DEH1_2022,GEMN-0097_LH212HT_0004/LH244,10.9091193133811
DEH1_2022,GEMN-0097_LH212HT_0018/LH244,10.753003229481893
DEH1_2022,GEMN-0097_LH212HT_0019/LH244,10.513440490325427
DEH1_2022,GEMN-0097_LH212HT_0020/LH244,10.612304324267477
DEH1_2022,GEMN-0097_LH212HT_0023/LH244,10.966187536535454
DEH1_2022,GEMN-0097_LH212HT_0026/LH244,10.788775583147949
DEH1_2022,GEMN-0097_LH212HT_0032/LH244,10.89678113556029
DEH1_2022,GEMN-0097_LH212HT_0034/LH244,10.611685027197902
DEH1_2022,GEMN-0097_LH212HT_0039/LH244,10.71723699579935
DEH1_2022,GEMN-0097_LH212HT_0047/LH244,10.63165201698976
DEH1_2022,GEMN-0097_LH212HT_0051/LH244,10.685558386866806
DEH1_2022,GEMN-0097_LH212HT_0054/LH244,10.663956829343707
DEH1_2022,GEMN-0097_LH212HT_0058/LH244,10.592180160191688
DEH1_2022,GEMN-0097_LH212HT_0061/LH244,10.573196204059345
DEH1_2022,GEMN-0097_LH212HT_0062/LH244,10.597876634015211
DEH1_2022,GEMN-0097_LH212HT_0069/LH244,10.586785730399908
DEH1_2022,GEMN-0097_LH212HT_0074/LH244,10.724514730990242
DEH1_2022,GEMN-0097_LH212HT_0078/LH244,10.139537424937988
DEH1_2022,GEMN-0097_LH212HT_0085/LH244,10.599492921446176
DEH1_2022,GEMN-0097_LH212HT_0090/LH244,10.643662470784191
DEH1_2022,GEMN-0097_PHJ89_0001/LH244,10.88926026013678
DEH1_2022,GEMN-0097_PHJ89_0002/LH244,11.02098556317539
DEH1_2022,GEMN-0097_PHJ89_0003/LH244,10.604328554725615
DEH1_2022,GEMN-0097_PHJ89_0005/LH244,10.46125313547528
DEH1_2022,GEMN-0097_PHJ89_0006/LH244,10.686670547781318
DEH1_2022,GEMN-0097_PHJ89_0007/LH244,10.78998647224779
DEH1_2022,GEMN-0097_PHJ89_0008/LH244,10.78989073365922
DEH1_2022,GEMN-0097_PHJ89_0010/LH244,10.807459114796275
DEH1_2022,GEMN-0097_PHJ89_0011/LH244,9.98492162742526
DEH1_2022,GEMN-0097_PHJ89_0012/LH244,10.405952954027
DEH1_2022,GEMN-0097_PHJ89_0013/LH244,10.626093796422802
DEH1_2022,GEMN-0097_PHJ89_0016/LH244,10.591480106404015
DEH1_2022,GEMN-0097_PHJ89_0020/LH244,10.66502491977916
DEH1_2022,GEMN-0097_PHJ89_0023/LH244,10.546095043546298
DEH1_2022,GEMN-0097_PHJ89_0025/LH244,10.92371871828892
DEH1_2022,GEMN-0097_PHJ89_0026/LH244,10.370792246002615
DEH1_2022,GEMN-0097_PHJ89_0027/LH244,10.618448475865192
